user_id,full_name,username,job_title,department,division,country,airport,terminal,employee_category,shift_pattern,age,preferred_language
u00000,Elena Fischer,efischer00,Team Lead,Human Resources,Europe Retail,DE,FRA,T1,office-based,office,27,de
u00001,Omar Keller,okeller01,Store Assistant,Store Operations,Europe Retail,GB,LHR,T2,shift-based,short,44,en
u00002,Yusuf Weber,yweber02,Stock Assistant,Logistics,Europe Retail,ES,BCN,T1,shift-based,night,63,es
u00003,Luca Kaur,lkaur03,Store Manager,Management,Europe Retail,CH,ZRH,T3,office-based,office,31,it
u00004,Ivan Chen,ichen04,Beauty Advisor,Customer Service,Europe Retail,CH,ZRH,T2,shift-based,day,30,it
u00005,Aiko Chen,achen05,Sales Associate,Store Operations,Europe Retail,IT,MXP,T3,shift-based,day,28,it
u00006,Sofia Schneider,sschneider06,Logistics Coordinator,Logistics,Europe Retail,FR,NCE,T2,shift-based,short,42,fr
u00007,Lena Weber,lweber07,Stock Assistant,Logistics,Europe Retail,DE,FRA,T2,shift-based,long,26,de
u00008,Noor Lopez,nlopez08,Store Assistant,Communications,Europe Retail,DE,MUC,T3,office-based,office,36,de
u00009,Robin Dubois,rdubois09,Sales Associate,Customer Service,US Retail,US,LAX,T2,shift-based,short,28,en
u00010,Ivan Silva,isilva10,Senior Sales Associate,Store Operations,Europe Retail,CH,ZRH,T2,shift-based,day,32,de
u00011,Jordan Rossi,jrossi11,Store Assistant,Store Operations,Europe Retail,DE,FRA,T3,shift-based,short,22,de
u00012,Omar Brown,obrown12,Senior Sales Associate,Store Operations,Europe Retail,FR,NCE,T3,shift-based,night,18,fr
u00013,Elena Rossi,erossi13,Stock Assistant,Store Operations,Europe Retail,FR,CDG,T3,shift-based,long,51,fr
u00014,Casey Fischer,cfischer14,Customer Service Agent,Store Operations,Europe Retail,DE,MUC,T3,shift-based,day,23,de
u00015,Lena Novak,lnovak15,Senior Sales Associate,Customer Service,Europe Retail,FR,CDG,T1,shift-based,day,29,fr
u00016,Taylor Lopez,tlopez16,Logistics Associate,Logistics,Europe Retail,DE,MUC,T2,shift-based,day,25,de
u00017,Casey Fischer,cfischer17,Stock Assistant,Customer Service,Europe Retail,IT,MXP,T2,shift-based,day,29,it
u00018,Jordan Costa,jcosta18,Stock Assistant,Store Operations,Europe Retail,CH,ZRH,T3,shift-based,day,33,it
u00019,Alex Muller,amuller19,Logistics Associate,Store Operations,Europe Retail,CH,ZRH,T3,shift-based,day,42,it
u00020,Omar Smith,osmith20,Stock Assistant,Store Operations,Europe Retail,IT,MXP,T2,shift-based,split,40,it
u00021,Alex Meier,ameier21,Beauty Advisor,Customer Service,Europe Retail,IT,FCO,T1,shift-based,split,46,it
u00022,Chloe Lopez,clopez22,Store Assistant,Logistics,Europe Retail,CH,BSL,T2,shift-based,short,38,fr
u00023,Alex Dubois,adubois23,Senior Sales Associate,Store Operations,Europe Retail,IT,FCO,T3,shift-based,short,37,it
u00024,Chloe Kaur,ckaur24,Head of Retail Operations,Store Operations,Europe Retail,DE,MUC,T3,shift-based,day,32,de
